	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	0, 100, 0,	36, 64, 0,	0, 30, 70,	0, 65, 35,	0, 41, 36,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 55, 28,	0, 0, 16,	0, 0, 0,	0, 0, 0
K,	100, 0, 0,	28, 72, 0,	0, 63, 37,	0, 71, 29,	0, 42, 20,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0
Q,	0, 44, 0,	0, 0, 0,	39, 39,	22,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
J,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 64, 36,	0, 0, 20,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
T,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 34, 34,	0, 0, 19,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
9,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 18, 29,	0, 0, 100,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
8,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 30,	0, 0, 100,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
7,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 26,	0, 0, 100,  0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0
6,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 24,   0, 0, 100,	0, 0, 0,	0, 0, 0,    0, 0, 0
5,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 38,	0, 0, 100,	0, 0, 0,    0, 0, 0
4,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 100,	0, 0, 0,    0, 0, 0
3,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 100,  0, 0, 0
2,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 0,	0, 0, 0,	0, 0, 0,    0, 0, 100
