	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2,			
A,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 48, 52,	0, 33, 67,	0, 70, 30,	0, 65, 35,	0, 78, 22,	0, 90, 10,	0, 76, 24,	0, 64, 36,	0, 40, 31,	0, 0, 0,	
K,	0, 100, 0,	0, 100, 0,	0, 55, 45,	0, 75, 25,	0, 63, 37,	0, 64, 36,	0, 55, 0,	0, 14, 10,	0, 24, 20,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
Q,	0, 63, 37,	0, 77, 23,	0, 100, 0,	0, 45, 55,	0, 48, 52,	0, 100, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
J,	0, 80, 20,	0, 43, 18,	0, 36, 0,	0, 83, 17,	0, 63, 37,	0, 82, 18,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
T,	0, 55, 0,	0, 12, 0,	0, 0, 0,	0, 0, 0,	0, 61, 39,	0, 64, 36,	0, 23, 4,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
9,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 54, 46,	0, 8, 30,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
8,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 43, 57,	0, 19, 17,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
7,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 40, 60,	0, 14, 11,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
6,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 42, 58,	0, 17, 10,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
5,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 12, 41,	0, 13, 16,	0, 0, 0,	0, 0, 0,	
4,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 30,	0, 0, 0,	0, 0, 0,	
3,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 23,	0, 0, 0,	
2,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 20,	
