	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2,			
A,	0, 100, 0,	0, 100, 0,	0, 53, 47,	0, 25, 75,	0, 18, 82,	0, 7, 93,	0, 6, 94,	0, 4, 96,	0, 0, 100,	0, 19, 81,	0, 17, 83,	0, 25, 74,	0, 33, 67,	
K,	0, 58, 42,	0, 100, 0,	0, 17, 83,	0, 10, 90,	0, 41, 59,	0, 0, 100,	0, 0, 100,	0, 14, 86,	0, 6, 94,	0, 12, 88,	0, 31, 68,	0, 10, 90,	0, 0, 100,	
Q,	0, 0, 100,	0, 24, 76,	0, 66, 34,	0, 66, 34,	0, 35, 65,	0, 13, 87,	0, 12, 88,	0, 0, 100,	0, 7, 93,	0, 0, 100,	0, 0, 100,	0, 0, 100,	0, 0, 100,	
J,	0, 0, 100,	0, 17, 83,	0, 0, 100,	0, 13, 87,	0, 35, 65,	0, 5, 95,	0, 0, 100,	0, 0, 100,	0, 0, 100,	0, 0, 100,	0, 0, 100,	0, 0, 71,	0, 0, 47,	
T,	0, 14, 86,	0, 0, 100,	0, 0, 100,	0, 0, 100,	0, 4, 96,	0, 39, 61,	0, 0, 100,	0, 0, 100,	0, 0, 100,	0, 0, 54,	0, 0, 42,	0, 0, 27,	0, 0, 0,	
9,	0, 0, 100,	0, 0, 33,	0, 0, 0,	0, 0, 19,	0, 0, 86,	0, 0, 100,	0, 23, 77,	0, 0, 100,	0, 0, 100,	0, 0, 100,	0, 0, 0,	0, 0, 27,	0, 0, 29,	
8,	0, 10, 47,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 23,	0, 0, 52,	0, 0, 100,	0, 46, 54,	0, 0, 100,	0, 0, 100,	0, 0, 61,	0, 0, 0,	0, 0, 0,	
7,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 16,	0, 0, 61,	0, 0, 100,	0, 42, 58,	0, 0, 100,	0, 0, 100,	0, 0, 10,	0, 0, 0,	
6,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 12,	0, 0, 51,	0, 0, 100,	0, 54, 46,	0, 0, 100,	0, 0, 100,	0, 0, 0,	
5,	0, 13, 43,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 51,	0, 0, 100,	0, 30, 70,	0, 0, 100,	0, 0, 100,	
4,	0, 5, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 29,	0, 0, 100,	0, 0, 100,	0, 0, 100,	
3,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 100,	
2,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	
