	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2,			
A,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 33, 67,	0, 0, 100,	0, 4, 96,	0, 10, 90,	0, 0, 100,	0, 0, 100,	0, 67, 33,	0, 5, 95,	0, 16, 84,	0, 16, 84,	
K,	0, 100, 0,	0, 100, 0,	0, 31, 69,	0, 69, 31,	0, 48, 52,	0, 18, 82,	0, 0, 100,	0, 11, 89,	0, 25, 74,	0, 11, 89,	0, 24, 76,	0, 27, 73,	0, 12, 88,	
Q,	0, 45, 55,	0, 37, 63,	0, 100, 0,	0, 19, 81,	0, 23, 77,	0, 0, 100,	0, 20, 80,	0, 0, 100,	0, 31, 68,	0, 40, 60,	0, 30, 70,	0, 11, 89,	0, 17, 83,	
J,	0, 29, 71,	0, 35, 65,	0, 29, 71,	0, 100, 0,	0, 75, 25,	0, 42, 58,	0, 11, 89,	0, 25, 75,	0, 20, 79,	0, 0, 100,	0, 4, 92,	0, 0, 31,	0, 0, 0,	
T,	0, 17, 83,	0, 13, 87,	0, 13, 87,	0, 0, 100,	0, 40, 60,	0, 46, 54,	0, 0, 100,	0, 14, 86,	0, 13, 87,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
9,	0, 13, 87,	0, 7, 47,	0, 0, 0,	0, 0, 28,	0, 0, 48,	0, 5, 95,	0, 24, 76,	0, 0, 100,	0, 0, 100,	0, 0, 52,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
8,	0, 14, 81,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 29,	0, 0, 100,	0, 31, 69,	0, 0, 100,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
7,	0, 4, 23,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 20,	0, 0, 100,	0, 37, 62,	0, 0, 100,	0, 0, 100,	0, 0, 0,	0, 0, 0,	
6,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 14,	0, 4, 96,	0, 53, 47,	0, 8, 91,	0, 0, 100,	0, 0, 0,	
5,	0, 29, 71,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 6, 94,	0, 33, 67,	0, 0, 100,	0, 0, 100,	
4,	0, 10, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 100,	0, 0, 70,	
3,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 16,	
2,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	
