	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	100, 0,		100, 0,		100, 0,		87, 13,		26, 74,		14, 86,		11, 89,		55, 45,		55, 45,		100, 0,		86, 14,		27, 73,		7, 93
K,	100, 0,		100, 0,		100, 0,		58, 42,		40, 60,		46, 54,		38, 62,		35, 65,		40, 60,		17, 83,		0, 100,		0, 100,		0, 100
Q,	48, 52,		23, 77,		100, 0,		87, 13,		82, 18,		68, 32,		0, 100,		0, 100,		25, 75,		17, 83,		0, 100,		0, 100,		0, 100
J,	14, 86,		23, 77,		9, 91,		100, 0,		100, 0,		100, 0,		32, 68,		25, 75,		0, 100,		8, 92,		0, 100,		0, 100,		0, 100
T,	12, 88,		28, 72,		11, 89,		12, 88,		63, 37,		100, 0,		86, 14,		25, 75,		25, 75,		0, 100,		0, 100,		0, 92,		0, 18
9,	10, 90,		7, 93,		0, 100,		0, 100,		0, 100,		34, 66,		89, 11,		19, 81,		10, 90,		0, 100,		0, 0,		0, 0,		0, 0
8,	7, 93,		0, 85,		0, 0,		0, 23,		0, 68,		0, 73,		20, 80,		86, 14,		22, 78,		0, 100,		0, 0,		0, 0,		0, 0
7,	0, 100,		0, 23,		0, 0,		0, 0,		0, 0,		0, 0,		0, 63,		14, 86,		80, 20,		8, 92,		0, 100,		0, 0,		0, 0
6,	0, 73,		0, 15,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 59,		8, 92,		60, 40,		10, 90,		0, 100,		0, 0
5,	0, 100,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 27,		0, 100,		33, 67,		14, 86,		0, 100
4,	0, 93,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 5,		0, 100,		10, 90,		0, 75
3,	0, 20,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 100,		0, 10
2,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 100
