	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2,			
A,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	
K,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 40, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
Q,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 63, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
J,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 25, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
T,	0, 100, 0,	0, 53, 0,	0, 29, 0,	0, 34, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
9,	0, 16, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 100, 0,	0, 100, 0,	0, 14, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
8,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 100, 0,	0, 31, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
7,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 100, 0,	0, 14, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
6,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 100, 0,	0, 19, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
5,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 100, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
4,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 76, 0,	0, 0, 0,	0, 0, 0,	
3,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 46, 0,	0, 0, 0,	
2,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 40, 0,	
