	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	100, 0,		100, 0,		100, 0,		71, 29,		71, 29,		16, 84,		17, 83,		30, 70,		11, 89,		49, 51,		53, 47,		22, 78,		4, 96
K,	55, 45,		100, 0,		100, 0,		88, 12,		53, 47,		12, 88,		0, 100,		12, 88,		20, 80,		0, 100,		0, 100,		0, 57,		0, 50
Q,	0, 100,		0, 100,		100, 0,		100, 0,		57, 43,		14, 86,		6, 94,		0, 100,		0, 100,		0, 91,		0, 0,		0, 0,		0, 0
J,	0, 100,		0, 100,		0, 100,		45, 55,		82, 18,		9, 91,		0, 100,		0, 54,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
T,	0, 100,		0, 56,		0, 42,		0, 72,		28, 72,		42, 58,		18, 82,		0, 100,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
9,	0, 46,		0, 0,		0, 0,		0, 0,		0, 15,		21, 79,		28, 72,		10, 90,		0, 100,		0, 0,		0, 0,		0, 0,		0, 0
8,	0, 7,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		12, 88,		28, 72,		5, 95,		0, 76,		0, 0,		0, 0,		0, 0
7,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		13, 87,		14, 86,		7, 93,		0, 0,		0, 0,		0, 0
6,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		9, 91,		35, 65,		12, 88,		0, 0,		0, 0
5,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		7, 93,		26, 74,		0, 100,		0, 0
4,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 100,		0, 100,		0, 0
3,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 100,		0, 0
2,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 100
