	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0
K,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0
Q,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0
J,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		27, 0,		0, 0
T,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		37, 0,		0, 0,		0, 0,		0, 0
9,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		8, 0,		0, 0,		0, 0,		0, 0
8,	100, 0,		93, 0,		0, 0,		12, 0,		61, 0,		88, 0,		100, 0,		100, 0,		100, 0,		100, 0,		0, 0,		0, 0,		0, 0
7,	100, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		37, 0,		100, 0,		100, 0,		100, 0,		23, 0,		0, 0,		0, 0
6,	100, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		100, 0,		100, 0,		100, 0,		0, 0,		0, 0
5,	100, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		100, 0,		100, 0,		100, 0,		0, 0
4,	78, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		100, 0,		0, 0,		0, 0
3,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		100, 0,		0, 0
2,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		100, 0
