	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2,			
A,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 84, 16,	0, 84, 16,	0, 29, 71,	0, 40, 60,	0, 58, 42,	0, 54, 46,	0, 73, 27,	0, 55, 45,	0, 51, 49,	0, 45, 55,	
K,	0, 83, 17,	0, 100, 0,	0, 76, 24,	0, 60, 40,	0, 84, 16,	0, 48, 52,	0, 31, 53,	0, 43, 30,	0, 46, 25,	0, 0, 11,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
Q,	0, 71, 29,	0, 57, 43,	0, 73, 27,	0, 95, 5,	0, 90, 10,	0, 41, 59,	0, 0, 11,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
J,	0, 39, 61,	0, 24, 23,	0, 0, 24,	0, 72, 28,	0, 96, 4,	0, 66, 34,	0, 12, 17,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
T,	0, 0, 40,	0, 0, 11,	0, 0, 13,	0, 0, 16,	0, 77, 23,	0, 77, 23,	0, 60, 40,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
9,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 64, 36,	0, 58, 42,	0, 0, 10,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
8,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 54, 46,	0, 40, 29,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
7,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 49, 51,	0, 30, 20,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
6,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 42, 58,	0, 23, 22,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
5,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 37, 63,	0, 6, 8,	0, 0, 0,	0, 0, 0,	
4,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 12, 52,	0, 0, 0,	0, 0, 0,	
3,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 41,	0, 0, 0,	
2,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 39,	
