	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2,			
A,	0, 100, 0,	0, 100, 0,	0, 70, 30,	0, 47, 53,	0, 57, 43,	0, 0, 100,	0, 19, 81,	0, 29, 71,	0, 20, 80,	0, 46, 54,	0, 42, 58,	0, 29, 71,	0, 11, 89,	
K,	0, 23, 77,	0, 100, 0,	0, 100, 0,	0, 75, 25,	0, 29, 71,	0, 0, 100,	0, 0, 100,	0, 5, 95,	0, 5, 95,	0, 0, 100,	0, 0, 88,	0, 0, 0,	0, 0, 6,	
Q,	0, 0, 100,	0, 0, 100,	0, 67, 33,	0, 58, 42,	0, 34, 66,	0, 5, 95,	0, 0, 100,	0, 0, 25,	0, 0, 100,	0, 0, 46,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
J,	0, 0, 100,	0, 0, 90,	0, 0, 54,	0, 27, 73,	0, 51, 49,	0, 10, 90,	0, 0, 100,	0, 0, 17,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
T,	0, 0, 100,	0, 0, 11,	0, 0, 30,	0, 0, 60,	0, 19, 81,	0, 25, 75,	0, 19, 81,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
9,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 6,	0, 13, 87,	0, 19, 81,	0, 10, 90,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
8,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 10, 90,	0, 27, 73,	0, 5, 95,	0, 0, 33,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
7,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 11, 89,	0, 13, 87,	0, 4, 96,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
6,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 7, 93,	0, 34, 66,	0, 10, 90,	0, 0, 0,	0, 0, 0,	
5,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 10, 90,	0, 30, 70,	0, 0, 100,	0, 0, 0,	
4,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 72,	0, 0, 0,	
3,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 0,	
2,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	
