	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2,			
A,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 82, 18,	0, 47, 53,	0, 45, 55,	0, 25, 75,	0, 19, 81,	0, 17, 83,	0, 69, 31,	0, 27, 73,	0, 11, 89,	0, 0, 100,	
K,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 93, 7,	0, 0, 100,	0, 4, 96,	0, 10, 90,	0, 8, 92,	0, 5, 95,	0, 0, 100,	0, 0, 100,	0, 0, 100,	
Q,	0, 18, 82,	0, 11, 89,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 27, 73,	0, 34, 66,	0, 0, 100,	0, 10, 90,	0, 0, 100,	0, 0, 100,	0, 0, 88,	0, 0, 60,	
J,	0, 4, 96,	0, 0, 100,	0, 6, 94,	0, 72, 28,	0, 100, 0,	0, 54, 46,	0, 11, 89,	0, 0, 100,	0, 0, 92,	0, 0, 25,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
T,	0, 7, 93,	0, 0, 100,	0, 0, 100,	0, 0, 100,	0, 43, 57,	0, 87, 13,	0, 24, 76,	0, 0, 100,	0, 0, 17,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
9,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 16,	0, 0, 53,	0, 25, 75,	0, 45, 55,	0, 12, 88,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
8,	0, 0, 45,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 29,	0, 18, 82,	0, 45, 55,	0, 16, 84,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
7,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 12,	0, 11, 89,	0, 29, 71,	0, 11, 89,	0, 0, 87,	0, 0, 0,	0, 0, 0,	
6,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 6, 94,	0, 43, 57,	0, 24, 76,	0, 0, 25,	0, 0, 0,	
5,	0, 0, 41,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 29, 71,	0, 4, 96,	0, 0, 26,	
4,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 100,	0, 0, 0,	
3,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 0,	
2,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	
