	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2,			
A,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 88, 12,	0, 27, 73,	0, 14, 86,	0, 11, 89,	0, 56, 44,	0, 57, 43,	0, 100, 0,	0, 88, 12,	0, 28, 72,	0, 7, 93,	
K,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 59, 41,	0, 40, 60,	0, 47, 53,	0, 39, 61,	0, 36, 64,	0, 41, 59,	0, 17, 83,	0, 5, 95,	0, 0, 100,	0, 0, 100,	
Q,	0, 49, 51,	0, 23, 77,	0, 100, 0,	0, 88, 12,	0, 82, 18,	0, 69, 31,	0, 6, 94,	0, 0, 100,	0, 25, 75,	0, 18, 82,	0, 5, 95,	0, 0, 100,	0, 0, 100,	
J,	0, 14, 86,	0, 24, 76,	0, 10, 90,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 33, 67,	0, 25, 75,	0, 4, 96,	0, 7, 93,	0, 4, 96,	0, 0, 100,	0, 0, 100,	
T,	0, 12, 88,	0, 28, 72,	0, 11, 89,	0, 12, 88,	0, 64, 36,	0, 100, 0,	0, 87, 13,	0, 26, 74,	0, 25, 75,	0, 0, 100,	0, 0, 100,	0, 0, 93,	0, 0, 18,	
9,	0, 11, 89,	0, 6, 94,	0, 0, 100,	0, 0, 100,	0, 4, 96,	0, 35, 65,	0, 90, 10,	0, 19, 81,	0, 10, 90,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
8,	0, 6, 94,	0, 0, 86,	0, 0, 5,	0, 0, 23,	0, 0, 69,	0, 0, 73,	0, 20, 80,	0, 88, 12,	0, 23, 77,	0, 0, 100,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
7,	0, 0, 100,	0, 0, 23,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 64,	0, 14, 86,	0, 80, 20,	0, 8, 92,	0, 0, 100,	0, 0, 0,	0, 0, 0,	
6,	0, 0, 75,	0, 0, 16,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 60,	0, 8, 92,	0, 60, 40,	0, 10, 90,	0, 0, 100,	0, 0, 0,	
5,	0, 4, 96,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 28,	0, 0, 100,	0, 34, 66,	0, 14, 86,	0, 0, 100,	
4,	0, 0, 95,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 6,	0, 0, 100,	0, 10, 90,	0, 0, 75,	
3,	0, 0, 19,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 10,	
2,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	
