	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2,			
A,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 60, 40,	0, 0, 100,	0, 12, 88,	0, 20, 80,	0, 11, 89,	0, 78, 22,	0, 54, 46,	0, 16, 84,	0, 0, 100,	
K,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 60, 40,	0, 0, 100,	0, 0, 100,	0, 0, 100,	0, 5, 95,	0, 0, 100,	0, 0, 100,	0, 0, 100,	0, 0, 100,	
Q,	0, 53, 47,	0, 10, 90,	0, 100, 0,	0, 16, 84,	0, 47, 53,	0, 0, 100,	0, 0, 100,	0, 6, 94,	0, 27, 73,	0, 23, 77,	0, 17, 83,	0, 13, 87,	0, 6, 94,	
J,	0, 6, 94,	0, 8, 92,	0, 29, 71,	0, 100, 0,	0, 64, 36,	0, 0, 100,	0, 0, 100,	0, 36, 64,	0, 30, 70,	0, 35, 65,	0, 30, 70,	0, 17, 83,	0, 11, 89,	
T,	0, 0, 100,	0, 11, 89,	0, 19, 81,	0, 17, 83,	0, 72, 28,	0, 71, 29,	0, 0, 100,	0, 7, 93,	0, 64, 36,	0, 34, 66,	0, 43, 57,	0, 30, 70,	0, 4, 96,	
9,	0, 4, 96,	0, 36, 64,	0, 42, 58,	0, 42, 58,	0, 16, 84,	0, 45, 55,	0, 57, 43,	0, 30, 70,	0, 25, 75,	0, 46, 54,	0, 0, 46,	0, 0, 42,	0, 0, 0,	
8,	0, 29, 71,	0, 42, 58,	0, 45, 55,	0, 37, 63,	0, 33, 67,	0, 20, 80,	0, 34, 66,	0, 45, 55,	0, 0, 100,	0, 18, 82,	0, 29, 71,	0, 0, 0,	0, 0, 0,	
7,	0, 39, 61,	0, 48, 52,	0, 0, 0,	0, 0, 0,	0, 10, 6,	0, 17, 50,	0, 16, 84,	0, 25, 75,	0, 59, 41,	0, 0, 100,	0, 14, 86,	0, 17, 72,	0, 0, 0,	
6,	0, 36, 64,	0, 41, 52,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 7,	0, 18, 82,	0, 19, 81,	0, 37, 63,	0, 0, 100,	0, 8, 92,	0, 0, 0,	
5,	0, 29, 71,	0, 12, 8,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 16, 80,	0, 0, 100,	0, 54, 46,	0, 0, 100,	0, 0, 100,	
4,	0, 30, 70,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 61,	0, 0, 100,	0, 0, 100,	0, 0, 100,	
3,	0, 40, 60,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 14, 86,	
2,	0, 33, 33,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	
