	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2,			
A,	0, 100, 0,	0, 100, 0,	0, 100, 0,	0, 41, 59,	0, 39, 61,	0, 0, 100,	0, 0, 100,	0, 10, 90,	0, 8, 92,	0, 25, 75,	0, 25, 75,	0, 23, 77,	0, 49, 51,	
K,	0, 100, 0,	0, 100, 0,	0, 71, 29,	0, 76, 24,	0, 11, 89,	0, 0, 100,	0, 0, 100,	0, 32, 68,	0, 53, 47,	0, 37, 57,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
Q,	0, 51, 49,	0, 29, 71,	0, 100, 0,	0, 22, 78,	0, 11, 89,	0, 0, 100,	0, 6, 89,	0, 0, 0,	0, 0, 13,	0, 0, 7,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
J,	0, 37, 63,	0, 18, 75,	0, 0, 29,	0, 52, 48,	0, 12, 88,	0, 27, 73,	0, 11, 66,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
T,	0, 14, 61,	0, 0, 11,	0, 0, 7,	0, 0, 14,	0, 17, 83,	0, 35, 65,	0, 35, 65,	0, 0, 26,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
9,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 37, 63,	0, 6, 59,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
8,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 43, 57,	0, 0, 11,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
7,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 22, 78,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	
6,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 27, 73,	0, 0, 4,	0, 0, 0,	0, 0, 0,	
5,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 16, 84,	0, 0, 0,	0, 0, 0,	
4,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 0,	0, 0, 0,	
3,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	0, 0, 0,	
2,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 0,	0, 0, 100,	
