	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	100, 0,		100, 0,		35, 65,		40, 60,		56, 44,		36, 22,		45, 28,		46, 3,		0, 0,		80, 20,		77, 23,		39, 13,		0, 0
K,	55, 45,		94, 6,		44, 56,		65, 35,		65, 35,		24, 0,		0, 0,		0, 0,		23, 0,		0, 0,		0, 0,		0, 0,		0, 0
Q,	53, 39,		21, 0,		52, 48,		63, 37,		46, 54,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
J,	0, 0,		0, 0,		0, 0,		54, 46,		47, 53,		0, 10,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
T,	0, 0,		0, 0,		0, 0,		0, 0,		52, 48,		34, 41,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
9,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		48, 52,		13, 24,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
8,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		47, 53,		16, 16,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
7,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		46, 54,		14, 20,		0, 0,		0, 0,		0, 0,		0, 0
6,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		28, 40,		27, 30,		0, 0,		0, 0,		0, 0
5,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		10, 23,		23, 36,		0, 0,		0, 0
4,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		3, 17,		0, 0,		0, 0
3,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 14,		0, 0
3,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 19
