	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	100, 0,		100, 0,		62, 38,		53, 47,		61, 39,		79, 21,		73, 27,		60, 5,		0, 0,		81, 19,		83, 17,		50, 10,		0, 0
K,	82, 18,		100, 0,		47, 53,		66, 34,		72, 28,		60, 0,		0, 0,		0, 0,		23, 0,		0, 0,		0, 0,		0, 0,		0, 0
Q,	72, 28,		38, 7,		69, 31,		82, 18,		73, 27,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
J,	10, 4,		0, 0,		0, 0,		68, 32,		66, 34,		12, 6,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
T,	0, 0,		0, 0,		0, 0,		0, 0,		68, 32,		45, 29,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
9,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		66, 34,		15, 17,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
8,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		67, 33,		17, 10,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
7,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		62, 38,		12, 12,		0, 0,		0, 0,		0, 0,		0, 0
6,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		62, 38,		26, 17,		0, 0,		0, 0,		0, 0
5,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		17, 18,		23, 20,		0, 0,		0, 0
4,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		10, 14,		0, 0,		0, 0
3,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 14,		0, 0
2,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 15
