	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	100, 0,		100, 0,		37, 63,		36, 64,		51, 49,		45, 55,		46, 54,		58, 42,		11, 10,		71, 29,		67, 33,		53, 34,		0, 0
K,	49, 51,		100, 0,		23, 77,		45, 55,		48, 52,		41, 35,		0, 0,		5, 0,		27, 3,		0, 0,		0, 0,		0, 0,		0, 0
Q,	39, 61,		40, 26,		48, 52,		56, 44,		38, 62,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
J,	17, 24,		0, 0,		0, 0,		49, 51,		34, 66,		36, 55,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
T,	0, 0,		0, 0,		0, 0,		0, 0,		48, 52,		29, 71,		20, 36,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
9,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		42, 58,		30, 70,		0, 5,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
8,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		37, 63,		39, 34,		0, 6,		0, 0,		0, 0,		0, 0,		0, 0
7,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		33, 77,		17, 36,		0, 0,		0, 0,		0, 0,		0, 0
6,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		31, 69,		30, 50,		0, 0,		0, 0,		0, 0
5,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		24, 58,		34, 66,		0, 0,		0, 0
4,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		6, 42,		0, 0,		0, 0
3,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 33,		0, 0
3,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 39
