	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	100, 0,		100, 0,		100, 0,		35, 65,		48, 52,		63, 37,		60, 40,		63, 37,		63, 37,		53, 47,		51, 49,		46, 53,		56, 44
K,	100, 0,		100, 0,		28, 72,		25, 75,		35, 65,		48, 52,		45, 30,		42, 35,		52, 48,		35, 12,		0, 0,		0, 0,		0, 0
Q,	43, 57,		55, 45,		73, 27,		36, 64,		40, 60,		76, 24,		16, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
J,	50, 50,		37, 23,		17, 10,		45, 55,		65, 35,		61, 39,		28, 8,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
T,	25, 33,		6, 0,		10, 0,		8, 12,		52, 48,		57, 42,		54, 46,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
9,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		48, 52,		35, 65,		30, 55,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
8,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		42, 58,		49, 51,		0, 6,		0, 0,		0, 0,		0, 0,		0, 0
7,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		38, 62,		52, 48,		0, 0,		0, 0,		0, 0,		0, 0
6,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		33, 67,		52, 48,		0, 0,		0, 0,		0, 0
5,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		32, 68,		38, 62,		0, 0,		0, 0
4,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		20, 80,		0, 0,		0, 0
3,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		15, 85,		0, 0
2,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		7, 93
