	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	100, 0,		100, 0,		100, 0,		83, 17,		56, 44,		38, 62,		46, 54,		24, 42,		4, 8,		72, 28,		63, 36,		9, 23,		0, 0
K,	74, 26,		100, 0,		94, 6,		84, 15,		58, 42,		36, 30,		0, 0,		0, 0,		0, 18,		0, 0,		0, 0,		0, 0,		0, 0
Q,	49, 51,		6, 30,		82, 18,		78, 22,		66, 34,		0, 7,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
J,	0, 23,		0, 12,		0, 0,		84, 16,		75, 25,		48, 37,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
T,	0, 0,		0, 0,		0, 0,		0, 0,		69, 31,		64, 36,		0, 8,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
9,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		62, 38,		33, 27,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
8,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		54, 46,		20, 13,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
7,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		45, 55,		7, 9,		0, 0,		0, 0,		0, 0,		0, 0
6,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		40, 60,		15, 5,		0, 0,		0, 0,		0, 0
5,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		11, 40,		0, 0,		0, 0,		0, 0
4,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 40,		0, 0,		0, 0
3,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 26,		0, 0
2,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 25
