	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	100, 0,		100, 0,		70, 30,		46, 54,		56, 44,		0, 100,		20, 80,		28, 72,		20, 80,		45, 55,		42, 58,		28, 72,		11, 89
K,	23, 77,		100, 0,		100, 0,		73, 27,		28, 72,		0, 100,		0, 100,		4, 96,		4, 96,		0, 100,		0, 86,		0, 0,		0, 5
Q,	0, 100,		0, 100,		67, 33,		57, 43,		33, 67,		4, 96,		0, 100,		0, 25,		0, 100,		0, 45,		0, 0,		0, 0,		0, 0
J,	0, 100,		0, 90,		0, 53,		26, 74,		50, 50,		10, 90,		0, 100,		0, 17,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
T,	0, 100,		0, 11,		0, 30,		0, 60,		20, 80,		25, 75,		18, 82,		0, 100,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0
9,	0, 0,		0, 0,		0, 0,		0, 0,		0, 5,		13, 87,		19, 81,		9, 91,		0, 100,		0, 0,		0, 0,		0, 0,		0, 0
8,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		10, 90,		27, 73,		4, 96,		0, 32,		0, 0,		0, 0,		0, 0
7,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		10, 90,		13, 87,		4, 96,		0, 0,		0, 0,		0, 0
6,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		8, 92,		33, 67,		10, 90,		0, 0,		0, 0
5,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		10, 90,		30, 70,		0, 100,		0, 0
4,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 100,		0, 72,		0, 0
3,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 100,		0, 0
2,	0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 100
