	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	100, 0,		100, 0,		100, 0,		100, 0,		60, 40,		0, 100,		12, 88,		20, 80,		11, 89,		77, 23,		53, 47,		15, 85,		0, 100
K,	100, 0,		100, 0,		100, 0,		100, 0,		59, 41,		0, 100,		0, 100,		0, 100,		0, 100,		0, 100,		0, 100,		0, 100,		0, 100
Q,	53, 47,		10, 90,		100, 0,		15, 85,		46, 54,		0, 100,		0, 100,		5, 95,		25, 75,		23, 77,		17, 83,		13, 87,		6, 94
J,	5, 95,		9, 91,		28, 72,		100, 0,		63, 37,		0, 100,		0, 100,		35, 65,		30, 70,		34, 66,		30, 70,		16, 84,		11, 89
T,	0, 100,		10, 90,		20, 80,		17, 83,		70, 30,		70, 30,		0, 100,		7, 93,		63, 37,		33, 67,		42, 57,		30, 70,		0, 100
9,	4, 96,		36, 64,		42, 58,		42, 58,		15, 85,		45, 55,		56, 44,		30, 70,		25, 75,		45, 55,		0, 45,		0, 42,		0, 0
8,	28, 72,		42, 58,		44, 55,		37, 63,		32, 68,		20, 80,		33, 67,		44, 55,		0, 100,		17, 83,		28, 72,		0, 0,		0, 0
7,	38, 62,		48, 52,		0, 0,		0, 0,		10, 7,		17, 50,		15, 85,		25, 75,		58, 42,		0, 100,		14, 86,		17, 71,		0, 0
6,	35, 65,		40, 52,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		17, 83,		20, 80,		37, 63,		0, 100,		8, 92,		0, 0
5,	28, 72,		12, 9,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		16, 84,		0, 100,		54, 46,		0, 100,		0, 100
4,	30, 70,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 61,		0, 100,		0, 100,		0, 100
3,	40, 60,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 100,		14, 86
2,	32, 33,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 100
