	A,			K,			Q,			J,			T,			9,			8,			7,			6,			5,			4,			3,			2
A,	85, 15,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0
K,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0
Q,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0
J,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		46, 54,		0, 100
T,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		35, 65,		15, 85,		0, 0,		0, 0
9,	100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		100, 0,		37, 63,		0, 0,		0, 0,		0, 0
8,	100, 0,		65, 35,		28, 72,		42, 58,		60, 40,		60, 40,		100, 0,		100, 0,		100, 0,		100, 0,		0, 0,		0, 0,		0, 0
7,	100, 0,		31, 69,		0, 0,		0, 15,		0, 29,		30, 37,		62, 38,		100, 0,		100, 0,		100, 0,		45, 55,		0, 0,		0, 0
6,	67, 33,		0, 42,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 24,		100, 0,		100, 0,		77, 23,		0, 36,		0, 0
5,	75, 25,		0, 18,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		60, 40,		62, 38,		63, 37,		0, 0
4,	54, 46,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		55, 45,		0, 40,		0, 0
3,	33, 67,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		60, 40,		0, 0
2,	0, 38,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		0, 0,		60, 40
